image,package,old_version,advisory,severity,comparison,source
image-app,libuuid1,2.37.2-4ubuntu3.6,CVE-2026-78408,Medium,not_reported_after_runtime_update,https://ubuntu.com/security/CVE-2026-78408
image-app,mount,2.37.2-4ubuntu3.6,CVE-2026-78408,Medium,not_reported_after_runtime_update,https://ubuntu.com/security/CVE-2026-78408
image-app,util-linux,2.37.2-4ubuntu3.6,CVE-2026-78408,Medium,not_reported_after_runtime_update,https://ubuntu.com/security/CVE-2026-78408
image-app,libpcre2-8-0,10.39-3ubuntu0.1,CVE-2026-89162,Medium,not_reported_after_runtime_update,https://ubuntu.com/security/CVE-2026-89162
image-app,libc-bin,2.35-0ubuntu3.14,CVE-2026-6368,Medium,not_reported_after_runtime_update,https://ubuntu.com/security/CVE-2026-6368
image-app,libc6,2.35-0ubuntu3.14,CVE-2026-6368,Medium,not_reported_after_runtime_update,https://ubuntu.com/security/CVE-2026-6368
image-app,libexpat1,2.4.7-1ubuntu0.7,CVE-2026-76957,Medium,not_reported_after_runtime_update,https://ubuntu.com/security/CVE-2026-76957
image-app,binutils,2.38-4ubuntu2.12,CVE-2026-15003,Medium,not_reported_after_runtime_update,https://ubuntu.com/security/CVE-2026-15003
image-app,binutils-common,2.38-4ubuntu2.12,CVE-2026-15003,Medium,not_reported_after_runtime_update,https://ubuntu.com/security/CVE-2026-15003
image-app,binutils-x86-64-linux-gnu,2.38-4ubuntu2.12,CVE-2026-15003,Medium,not_reported_after_runtime_update,https://ubuntu.com/security/CVE-2026-15003
image-app,libbinutils,2.38-4ubuntu2.12,CVE-2026-15003,Medium,not_reported_after_runtime_update,https://ubuntu.com/security/CVE-2026-15003
image-app,libctf-nobfd0,2.38-4ubuntu2.12,CVE-2026-15003,Medium,not_reported_after_runtime_update,https://ubuntu.com/security/CVE-2026-15003
image-app,libctf0,2.38-4ubuntu2.12,CVE-2026-15003,Medium,not_reported_after_runtime_update,https://ubuntu.com/security/CVE-2026-15003
image-app,binutils,2.38-4ubuntu2.12,CVE-2026-6844,Medium,not_reported_after_runtime_update,https://ubuntu.com/security/CVE-2026-6844
image-app,binutils-common,2.38-4ubuntu2.12,CVE-2026-6844,Medium,not_reported_after_runtime_update,https://ubuntu.com/security/CVE-2026-6844
image-app,binutils-x86-64-linux-gnu,2.38-4ubuntu2.12,CVE-2026-6844,Medium,not_reported_after_runtime_update,https://ubuntu.com/security/CVE-2026-6844
image-app,libbinutils,2.38-4ubuntu2.12,CVE-2026-6844,Medium,not_reported_after_runtime_update,https://ubuntu.com/security/CVE-2026-6844
image-app,libctf-nobfd0,2.38-4ubuntu2.12,CVE-2026-6844,Medium,not_reported_after_runtime_update,https://ubuntu.com/security/CVE-2026-6844
image-app,libctf0,2.38-4ubuntu2.12,CVE-2026-6844,Medium,not_reported_after_runtime_update,https://ubuntu.com/security/CVE-2026-6844
image-app,libsystemd0,249.11-0ubuntu3.22,CVE-2026-40228,Low,not_reported_after_runtime_update,https://ubuntu.com/security/CVE-2026-40228
image-app,libudev1,249.11-0ubuntu3.22,CVE-2026-40228,Low,not_reported_after_runtime_update,https://ubuntu.com/security/CVE-2026-40228
image-app,libexpat1,2.4.7-1ubuntu0.7,CVE-2026-56132,Medium,not_reported_after_runtime_update,https://ubuntu.com/security/CVE-2026-56132
image-app,bsdutils,1:2.37.2-4ubuntu3.6,CVE-2026-78410,Medium,not_reported_after_runtime_update,https://ubuntu.com/security/CVE-2026-78410
image-app,libblkid1,2.37.2-4ubuntu3.6,CVE-2026-78410,Medium,not_reported_after_runtime_update,https://ubuntu.com/security/CVE-2026-78410
image-app,libmount1,2.37.2-4ubuntu3.6,CVE-2026-78410,Medium,not_reported_after_runtime_update,https://ubuntu.com/security/CVE-2026-78410
image-app,libsmartcols1,2.37.2-4ubuntu3.6,CVE-2026-78410,Medium,not_reported_after_runtime_update,https://ubuntu.com/security/CVE-2026-78410
image-app,libuuid1,2.37.2-4ubuntu3.6,CVE-2026-78410,Medium,not_reported_after_runtime_update,https://ubuntu.com/security/CVE-2026-78410
image-app,mount,2.37.2-4ubuntu3.6,CVE-2026-78410,Medium,not_reported_after_runtime_update,https://ubuntu.com/security/CVE-2026-78410
image-app,util-linux,2.37.2-4ubuntu3.6,CVE-2026-78410,Medium,not_reported_after_runtime_update,https://ubuntu.com/security/CVE-2026-78410
image-app,libacl1,2.3.1-1,CVE-2026-54370,Medium,not_reported_after_runtime_update,https://ubuntu.com/security/CVE-2026-54370
image-app,binutils,2.38-4ubuntu2.12,CVE-2025-66861,Low,not_reported_after_runtime_update,https://ubuntu.com/security/CVE-2025-66861
image-app,binutils-common,2.38-4ubuntu2.12,CVE-2025-66861,Low,not_reported_after_runtime_update,https://ubuntu.com/security/CVE-2025-66861
image-app,binutils-x86-64-linux-gnu,2.38-4ubuntu2.12,CVE-2025-66861,Low,not_reported_after_runtime_update,https://ubuntu.com/security/CVE-2025-66861
image-app,libbinutils,2.38-4ubuntu2.12,CVE-2025-66861,Low,not_reported_after_runtime_update,https://ubuntu.com/security/CVE-2025-66861
image-app,libctf-nobfd0,2.38-4ubuntu2.12,CVE-2025-66861,Low,not_reported_after_runtime_update,https://ubuntu.com/security/CVE-2025-66861
image-app,libctf0,2.38-4ubuntu2.12,CVE-2025-66861,Low,not_reported_after_runtime_update,https://ubuntu.com/security/CVE-2025-66861
image-app,tar,1.34+dfsg-1ubuntu0.1.22.04.6,CVE-2026-18477,Medium,not_reported_after_runtime_update,https://ubuntu.com/security/CVE-2026-18477
image-app,binutils,2.38-4ubuntu2.12,CVE-2022-48064,Negligible,not_reported_after_runtime_update,https://ubuntu.com/security/CVE-2022-48064
image-app,binutils-common,2.38-4ubuntu2.12,CVE-2022-48064,Negligible,not_reported_after_runtime_update,https://ubuntu.com/security/CVE-2022-48064
image-app,binutils-x86-64-linux-gnu,2.38-4ubuntu2.12,CVE-2022-48064,Negligible,not_reported_after_runtime_update,https://ubuntu.com/security/CVE-2022-48064
image-app,libbinutils,2.38-4ubuntu2.12,CVE-2022-48064,Negligible,not_reported_after_runtime_update,https://ubuntu.com/security/CVE-2022-48064
image-app,libctf-nobfd0,2.38-4ubuntu2.12,CVE-2022-48064,Negligible,not_reported_after_runtime_update,https://ubuntu.com/security/CVE-2022-48064
image-app,libctf0,2.38-4ubuntu2.12,CVE-2022-48064,Negligible,not_reported_after_runtime_update,https://ubuntu.com/security/CVE-2022-48064
image-app,perl-base,5.34.0-3ubuntu1.8,CVE-2023-47039,Negligible,not_reported_after_runtime_update,https://ubuntu.com/security/CVE-2023-47039
image-db,openssl,1:3.5.8-1.0.1.el9_8,ELSA-2024-12675,Medium,still_reported,https://linux.oracle.com/errata/ELSA-2024-12675.html
image-db,openssl-libs,1:3.5.8-1.0.1.el9_8,ELSA-2024-12675,Medium,still_reported,https://linux.oracle.com/errata/ELSA-2024-12675.html
image-db,openssl,1:3.5.8-1.0.1.el9_8,ELSA-2026-50075,High,still_reported,https://linux.oracle.com/errata/ELSA-2026-50075.html
image-db,openssl-libs,1:3.5.8-1.0.1.el9_8,ELSA-2026-50075,High,still_reported,https://linux.oracle.com/errata/ELSA-2026-50075.html
image-db,gnutls,3.8.10-8.el9_8,ELSA-2024-12336,Medium,still_reported,https://linux.oracle.com/errata/ELSA-2024-12336.html
image-db,openssl,1:3.5.8-1.0.1.el9_8,ELSA-2025-28011,Medium,still_reported,https://linux.oracle.com/errata/ELSA-2025-28011.html
image-db,openssl-libs,1:3.5.8-1.0.1.el9_8,ELSA-2025-28011,Medium,still_reported,https://linux.oracle.com/errata/ELSA-2025-28011.html
image-db,gnutls,3.8.10-8.el9_8,ELSA-2025-20606,Medium,still_reported,https://linux.oracle.com/errata/ELSA-2025-20606.html
image-db,gnutls,3.8.10-8.el9_8,ELSA-2026-50346,High,still_reported,https://linux.oracle.com/errata/ELSA-2026-50346.html
image-db,urllib3,2.6.3,GHSA-mf9v-mfxr-j63j,High,not_reported_after_runtime_update,https://github.com/advisories/GHSA-mf9v-mfxr-j63j
image-db,pyopenssl,25.3.0,GHSA-5pwr-322w-8jr4,High,not_reported_after_runtime_update,https://github.com/advisories/GHSA-5pwr-322w-8jr4
